,가열로번호,cycle,에너지,가열시작시간,가열종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,gradient,temp_diff,time_diff,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
716,19,72,2278.2,2020-04-05 10:36:00,2020-04-05 15:57:00,19260,0.118286604,824.6,1224,4,128360,44500,74.65420561,399.4,5.35,ALLOY,1,0,0,6780,1,44500,44500,3,83860,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,128360,44500,1,누락없음,12540,4/6/2020,주간,일,겹침,초민감,4,4,AC,주말,0
610,19,61,347.8,2020-03-24 06:53:00,2020-03-24 07:42:00,2940,0.11829932,805.6,1225.6,3,118750,41500,514.2857143,420,0.816666667,ALLOY,1,0,0,1380,2,79250,41500,1,39500,39500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37750,37750,2,81000,41500,0,누락없음,2820,3/24/2020,주간,화,겹침,초민감,2,1,AC,평일,0
1133,19,122,163.3,2020-06-05 05:02:00,2020-06-05 05:25:00,1380,0.118333333,1037.5,1245.1,3,148300,66600,541.5652174,207.6,0.383333333,ALLOY,1,0,0,240,2,105200,66600,1,43100,43100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,105200,66600,1,43100,43100,0,누락없음,1320,6/5/2020,주간,금,겹침,이상없음,4,3,AC,평일,0
258,19,27,4239.1,2020-02-09 07:56:00,2020-02-09 17:52:00,35760,0.118543065,356.7,1247.7,3,129170,46750,89.69798658,891,9.933333333,CARBON,0,1,0,164580,0,0,0,3,129170,46750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,129170,46750,0,누락없음,35100,2/10/2020,주간,일,겹침,이상없음,3,1,C,주말,0
811,19,83,2478.8,2020-04-19 13:21:00,2020-04-19 19:09:00,20880,0.118716475,830.3,1248,4,129550,44000,72.01724138,417.7,5.8,SUS,0,0,1,5040,0,0,0,2,59800,29900,2,69750,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,129550,44000,0,누락없음,20100,4/20/2020,주간,일,겹침,이상없음,4,4,CS,주말,0
1744,19,201,878.9,2020-09-11 08:15:00,2020-09-11 10:18:00,7380,0.119092141,848.7,1249.1,5,103910,25450,195.3170732,400.4,2.05,CARBON,0,1,0,7620,0,0,0,5,103910,25450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,103910,25450,2,누락없음,6480,9/11/2020,야간,금,안겹침,이상없음,6,0,C,평일,0
1579,19,182,78.9,2020-08-18 08:47:00,2020-08-18 08:58:00,660,0.119545455,1185.1,1247.3,4,177870,91370,339.2727273,62.2,0.183333333,ALLOY,1,0,0,360,4,177870,91370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,177870,91370,0,0,0,0,누락없음,660,8/18/2020,야간,화,겹침,이상없음,4,2,A,평일,0
1429,19,159,2820.3,2020-07-19 11:33:00,2020-07-19 18:03:00,23400,0.120525641,608.6,1251.7,6,175200,56280,98.93846154,643.1,6.5,CARBON,0,1,0,106920,2,86420,56280,4,88780,25450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86420,56280,4,88780,25450,0,누락없음,23040,7/20/2020,주간,일,안겹침,이상없음,2,0,AC,주말,0
1318,19,147,3917.5,2020-07-05 05:36:00,2020-07-05 14:37:00,32460,0.120686999,366.2,1244.3,5,104400,41000,97.38632163,878.1,9.016666667,CARBON,0,1,0,95280,3,31650,10550,2,72750,41000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31650,10550,2,72750,41000,0,누락없음,31800,7/6/2020,주간,일,안겹침,이상없음,8,0,AC,주말,0
991,19,107,327.5,2020-05-14 18:36:00,2020-05-14 19:21:00,2700,0.121296296,1116.1,1250.3,3,122700,60100,178.9333333,134.2,0.75,CARBON,0,1,0,300,0,0,0,3,122700,60100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60100,60100,2,62600,31500,1,누락없음,2400,5/14/2020,야간,목,겹침,이상없음,4,3,C,평일,0
1621,19,187,212.1,2020-08-24 14:56:00,2020-08-24 15:25:00,1740,0.121896552,952.4,1254.9,3,77650,49000,625.862069,302.5,0.483333333,CARBON,0,1,0,600,0,0,0,3,77650,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20000,20000,2,57650,49000,1,누락없음,1500,8/24/2020,야간,월,겹침,이상없음,4,1,C,평일,0
