,순번,프레스명,작업일자,주/야간,수주번호,시리얼번호,할당가열로,장입가열로,수주치수,사내재질,단조작업내역,비고,강종,수량,투입중량,투입수량,원단위가스량,시작시간
0,17,P5,2020-01-02,야간,191018-15200-004,001,"01,03",가열로1호기,"2150.00 X 0.00 X 142.00
",TW 350LF2,"50/35 S/N:001
2200 X 177  1차,2차작업","300T
SLAB",CARBON,1,5550,1,281.06,2020-01-01 08:23
1,16,P5,2020-01-02,야간,191018-15200-003,001,"01,03",가열로1호기,"2150.00 X 0.00 X 142.00
",TW 350LF2,"50/35 S/N:001
2200 X 177  1차,2차작업","300T
SLAB",CARBON,1,5550,1,281.06,2020-01-01 08:23
2,19,P5,2020-01-02,야간,191018-15200-006,001,"01,03",가열로1호기,"2150.00 X 0.00 X 142.00
",TW 350LF2,"50/35 S/N:001
2200 X 177  1차,2차작업","300T
SLAB",CARBON,1,5550,1,281.06,2020-01-01 08:23
3,18,P5,2020-01-02,야간,191018-15200-005,001,"01,03",가열로1호기,"2150.00 X 0.00 X 142.00
",TW 350LF2,"50/35 S/N:001
2200 X 177  1차,2차작업","300T
SLAB",CARBON,1,5550,1,281.06,2020-01-01 08:23
4,76,P5,2020-01-03,야간,191224-19226-010,"008,009,010,011,012,013","01,03",가열로1호기,"3980.00 X 3320.00 X 155.00
",S355NL,"25/25/20 S/N:008-013
1480*450*460","R/BLOOM
￠800",CARBON,6,5970,6,82.03,2020-01-03 08:06
5,77,P5,2020-01-03,야간,가열로다이,"001,002","01,03",가열로1호기,"SQ(450 X 450 X 3000)
",C-STEEL,P5사용,"R/B 테일부
및 압탕",,2,5000,2,68.7,2020-01-03 08:06
6,137,P5,2020-01-04,야간,191122-19234-050,"001,002,003","01,03",가열로1호기,"4250.00 X 3550.00 X 155.00
",S355NL,"25/25/20 S/N:001-003
1540*450*475","R/BLOOM
￠800",CARBON,3,6730,3,99.67,2020-01-04 07:50
7,136,P5,2020-01-04,야간,191217-19234-016,"006,007","01,03",가열로1호기,"4400.00 X 3600.00 X 150.00
",S355NL,"30/30/25 S/N:006-007
1669*500*480","R/BLOOM
￠800",CARBON,2,7960,2,117.89,2020-01-04 07:50
8,138,P5,2020-01-04,야간,가열로다이,"001,002","01,03",가열로1호기,"SQ(450 X 450 X 3000)
",C-STEEL,P5사용,"R/B 테일부
및 압탕",,2,5000,2,74.05,2020-01-04 07:50
9,472,P5,2020-01-10,주간,200103-19065-002,001,"01,03",가열로1호기,"876.30 X 749.30 X 1625.60
",TW F22,"황지치수:1125*450*820
R/M치수:1241 X 670 X 800 ￠650바사용","열처리예열
1000 R/B",ALLOY,1,5650,1,64.31,2020-01-09 09:21
10,474,P5,2020-01-10,주간,191024-19060-013,"001,002,003,004,005","01,03",가열로1호기,"4500.00 X 3884.00 X 241.00
",TWS355,"30/30/25 S/N:003-007
1771*500*525  UT불량주의.","400T
SLAB",CARBON,5,9900,5,112.69,2020-01-09 09:21
11,826,P5,2020-01-20,야간,200107-13134-021,"001,002,003,004,005,006","01,02",가열로1호기,"4300.00 X 3700.00 X 163.00
",TWS355,"30/30/35 S/N:001-006
1511*450*505","300T
SLAB",CARBON,6,6870,6,181.98,2020-01-18 07:29
12,875,P5,2020-01-21,야간,191001-19800-035,001,"01,02",가열로1호기,"2387.60 X 1234.44 X 177.80
",TW B50A584B,"100/40/25 S/N:1-2 정H/R 동시작업
1911*450*285 UT불량 필히주의.","열처리 예열
￠1000 R/B",ALLOY,2,6420,1,74.91,2020-01-21 06:53
13,874,P5,2020-01-21,야간,191001-19800-034,001,"01,02",가열로1호기,"3622.04 X 2880.36 X 195.58
",TW B50A584B,"114.03/40/30 S/N:1-2 정H/R 동시작업
1762*500*470   UT불량 필히주의.","열처리 예열
Φ1000 R/B",ALLOY,2,8770,1,102.33,2020-01-21 06:53
14,876,P5,2020-01-21,야간,191001-19800-036,001,"01,02",가열로1호기,"3622.04 X 2890.52 X 210.82
",TW B50A584B,"114.03/40/30 S/N:1-2 정H/R 동시작업
1781*500*485 UT불량 필히주의.","열처리 예열
￠1000 R/B",ALLOY,2,9260,1,108.05,2020-01-21 06:53
15,873,P5,2020-01-21,야간,191001-19800-033,001,"01,02",가열로1호기,"2387.60 X 1234.44 X 180.34
",TW B50A584B,"100/40/25 S/N:1-2 정H/R 동시작업
1891*450*295   UT불량 필히주의.","열처리 예열
Φ1000 R/B",ALLOY,2,6500,1,75.84,2020-01-21 06:53
16,1050,P5,2020-01-29,주간,190905-19234-028,003,"01,02,05",가열로1호기,"6000.00 X 5500.00 X 170.00
",TW S355Mn,"40/40/35 S/N:003 긴급 재제작건
1580*500*615","R/BLOOM
￠1000",CARBON,1,9020,1,132.98,2020-01-28 07:30
17,1055,P5,2020-01-29,주간,191018-15200-020,001,"01,02,05",가열로1호기,"1780.00 X 0.00 X 203.00
",TW F304H,"50/45 S/N:001
1830 X 248  2차작업 (가우징후투입건)","1/22 P5주
1차작업분",SUS 304,1,5390,1,79.46,2020-01-28 07:30
18,1047,P5,2020-01-29,주간,200114-19998-017,001,"01,02,05",가열로1호기,"6031.00 X 5623.00 X 145.00
",S355NL,"45/45/45 S/N:001
1464*450*570  필히야간링밀 돌릴것.","R/BLOOM
￠800",CARBON,1,7240,1,106.74,2020-01-28 07:30
19,1046,P5,2020-01-29,주간,200114-19998-016,001,"01,02,05",가열로1호기,"6031.00 X 5623.00 X 145.00
",S355NL,"45/45/45 S/N:001
1464*450*570  필히야간링밀 돌릴것.","R/BLOOM
￠800",CARBON,1,7240,1,106.74,2020-01-28 07:30
20,1045,P5,2020-01-29,주간,200114-19998-009,001,"01,02,05",가열로1호기,"6036.00 X 5616.00 X 145.00
",S355NL,"45/45/45 S/N:001
1480*450*570  필히야간링밀 돌릴것.","R/BLOOM
￠800",CARBON,1,7410,1,109.24,2020-01-28 07:30
21,1044,P5,2020-01-29,주간,200114-19998-008,001,"01,02,05",가열로1호기,"6036.00 X 5616.00 X 145.00
",S355NL,"45/45/45 S/N:001
1480*450*570  필히야간링밀 돌릴것.","R/BLOOM
￠800",CARBON,1,7410,1,109.24,2020-01-28 07:30
22,1043,P5,2020-01-29,주간,200114-19998-007,001,"01,02,05",가열로1호기,"6029.00 X 5625.00 X 140.00
",S355NL,"45/45/45 S/N:001
1449*450*565  필히야간링밀 돌릴것.","R/BLOOM
￠800",CARBON,1,6990,1,103.05,2020-01-28 07:30
23,1042,P5,2020-01-29,주간,200114-19998-006,001,"01,02,05",가열로1호기,"6029.00 X 5625.00 X 140.00
",S355NL,"45/45/45 S/N:001
1449*450*565  필히야간링밀 돌릴것.","R/BLOOM
￠800",CARBON,1,6990,1,103.05,2020-01-28 07:30
24,1116,P5,2020-01-30,주간,191228-19365-002,"002,003,004,005,006","01,02,05",가열로1호기,"4436.00 X 3916.00 X 165.00
",S355NL,"30/30/25 S/N:002-006
1482*450*465","R/BLOOM
￠800",CARBON,5,6060,5,86.11,2020-01-29 19:15
