,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,heat,0.0,1,97.38728323699421,[],[],increasing 0,280.79999999999995,2.8833333333333333,704.2999999999303,704.2999999999303,18,805.3,0,0.0,56.0,[''],2020-03-01 00:10:00,524.5,2020-03-01 00:00:00,507.0,,,2020-03-01 03:03:00,805.3,,0.0,,
1,heat,0.0,1,1.0452961672473868,[],[],holding 0,5.0,4.783333333333333,1083.2000000000696,1083.2000000000696,18,800.3,0,0.0,56.0,[''],2020-03-01 03:03:00,805.3,2020-03-01 00:00:00,507.0,,,2020-03-01 07:50:00,800.3,,0.0,,
2,heat,0.0,1,94.64310954063606,[],[],increasing 1,446.40000000000015,4.716666666666667,2044.3999999999066,2044.3999999999066,18,1246.7,0,0.0,56.0,[''],2020-03-01 07:50:00,800.3,2020-03-01 00:00:00,507.0,,,2020-03-01 12:33:00,1246.7,,0.0,,
3,open,,0,,[],[],,,,3.5,,18,,,,,,2020-03-02 08:20:00,1250.6,,,,,2020-03-02 08:24:00,934.1,,,,
4,reheat,,0,,[],[],,,,46.5,,18,,,,1.0,,2020-03-02 08:24:00,934.1,,,,,2020-03-02 08:30:00,,,,,
5,open,,0,,[],[],,,,19.099999999976717,,18,,,,,,2020-03-02 08:30:00,1256.0,,,,,2020-03-02 08:39:00,733.1,,,,
6,reheat,,0,,[],[],,,,47.900000000023276,,18,,,,2.0,,2020-03-02 08:39:00,733.1,,,,,2020-03-02 08:45:00,,,,,
7,hold,,0,,[],[],,,,6.799999999930152,,18,,,,,,2020-03-02 08:45:00,1205.6,,,,,2020-03-02 08:46:00,1224.1,,,1214.85,
8,open,,0,,[],[],,,,13.800000000046566,,18,,,,,,2020-03-02 08:46:00,1224.1,,,,,2020-03-02 08:50:00,773.2,,,,
9,reheat,,0,,[],[],,,,80.19999999995345,,18,,,,3.0,,2020-03-02 08:50:00,773.2,,,,,2020-03-02 08:58:00,,,,,
10,open,,0,,[],[],,,,27.59999999997672,,18,,,,,,2020-03-02 09:01:00,1253.3,,,,,2020-03-02 09:08:00,808.7,,,,
11,reheat,,0,,[],[],,,,97.40000000002328,,18,,,,1.0,,2020-03-02 09:08:00,808.7,,,,,2020-03-02 09:18:00,,,,,
12,hold,,0,,[],[],,,,153.09999999997672,,18,,,,,,2020-03-02 09:18:00,1250.9,,,,,2020-03-02 09:48:00,1255.8,,,1246.2838709677424,
13,open,,0,,[],[],,,,3.4000000000232835,,18,,,,,,2020-03-02 09:48:00,1255.8,,,,,2020-03-02 09:53:00,797.2,,,,
14,reheat,,0,,[],[],,,,68.0,,18,,,,1.0,,2020-03-02 09:53:00,797.2,,,,,2020-03-02 10:00:00,,,,,
15,hold,,0,,[],[],,,,18.699999999953434,,18,,,,,,2020-03-02 10:00:00,1255.4,,,,,2020-03-02 10:03:00,1254.8,,,1251.2,
16,open,,0,,[],[],,,,20.5,,18,,,,,,2020-03-02 10:03:00,1254.8,,,,,2020-03-02 10:11:00,752.9,,,,
17,reheat,,0,,[],[],,,,81.09999999997672,,18,,,,1.0,,2020-03-02 10:11:00,752.9,,,,,2020-03-02 10:19:00,,,,,
18,open,,0,,[],[],,,,18.599999999976717,,18,,,,,,2020-03-02 10:22:00,1253.7,,,,,2020-03-02 10:30:00,710.7,,,,
19,reheat,,0,,[],[],,,,94.30000000004655,,18,,,,1.0,,2020-03-02 10:30:00,710.7,,,,,2020-03-02 10:39:00,,,,,
20,open,,0,,[],[],,,,45.800000000046566,,18,,,,,,2020-03-02 10:39:00,1254.3,,,,,2020-03-02 10:51:00,738.6,,,,
21,reheat,,0,,[],[],,,,153.19999999995343,,18,,,,1.0,,2020-03-02 10:51:00,738.6,,,,,2020-03-02 11:10:00,,,,,
22,hold,,0,,[],[],,,,120.0,,18,,,,,,2020-03-02 11:10:00,1250.4,,,,,2020-03-02 11:36:00,1255.3,,,1248.4444444444443,
23,open,,0,,[],[],,,,28.800000000046573,,18,,,,,,2020-03-02 11:36:00,1255.3,,,,,2020-03-02 11:49:00,741.3,,,,
24,reheat,,0,,[],[],,,,116.89999999990688,,18,,,,1.0,,2020-03-02 11:49:00,741.3,,,,,2020-03-02 12:01:00,,,,,
25,hold,,0,,[],[],,,,361.7000000000698,,18,,,,,,2020-03-02 12:01:00,1246.0,,,,,2020-03-02 13:30:00,1255.3,,,1249.7622222222224,
26,open,,0,,[],[],,,,8.400000000023283,,18,,,,,,2020-03-02 13:30:00,1255.3,,,,,2020-03-02 13:38:00,632.4,,,,
27,reheat,,0,,[],[],,,,153.8999999999069,,18,,,,2.0,,2020-03-02 13:38:00,632.4,,,,,2020-03-02 13:53:00,,,,,
28,hold,,0,,[],[],,,,83.20000000006985,,18,,,,,,2020-03-02 13:53:00,1249.3,,,,,2020-03-02 14:06:00,1253.9,,,1247.392857142857,
29,open,,0,,[],[],,,,38.29999999993015,,18,,,,,,2020-03-02 14:06:00,1253.9,,,,,2020-03-02 14:23:00,592.6,,,,
30,reheat,,0,,[],[],,,,143.70000000006985,,18,,,,2.0,,2020-03-02 14:23:00,592.6,,,,,2020-03-02 14:37:00,,,,,
31,hold,,0,,[],[],,,,154.79999999993015,,18,,,,,,2020-03-02 14:37:00,1253.6,,,,,2020-03-02 15:06:00,1253.6,,,1247.4299999999996,
32,open,,0,,[],[],,,,18.400000000023287,,18,,,,,,2020-03-02 15:06:00,1253.6,,,,,2020-03-02 15:13:00,943.3,,,,
33,reheat,,0,,[],[],,,,70.20000000006985,,18,,,,0.0,,2020-03-02 15:13:00,943.3,,,,,2020-03-02 15:24:00,,,,,
34,hold,,0,,[],[],,,,110.69999999995345,,18,,,,,,2020-03-02 15:24:00,1252.2,,,,,2020-03-02 15:53:00,1255.5,,,1249.0433333333333,
35,open,,0,,[],[],,,,31.900000000023283,,18,,,,,,2020-03-02 15:53:00,1255.5,,,,,2020-03-02 16:04:00,879.1,,,,
36,reheat,,0,,[],[],,,,73.5,,18,,,,2.0,,2020-03-02 16:04:00,879.1,,,,,2020-03-02 16:15:00,,,,,
37,heat,1.0,0,973.6666666666665,[],[],increasing 0,584.1999999999998,0.6,444.40000000002334,444.40000000002334,18,1244.3,0,0.0,1.0,"['191118-15111-001', '200207-19226-010', '200207-19226-010', '200110-15133-004', '200207-19226-010_2', '200207-19226-010_1']",2020-03-02 17:06:00,660.1,2020-03-02 17:06:00,660.1,2020-03-02 16:54:00,,2020-03-02 17:42:00,1244.3,,0.0,,
38,open,,0,,[],"['200207-19226-010', '200207-19226-010']",,,,3.4000000000232835,,18,,,,,"['191118-15111-001', '200207-19226-010', '200207-19226-010', '200110-15133-004']",2020-03-02 22:34:00,1249.3,,,,,2020-03-02 22:40:00,700.4,,,,
39,reheat,,0,,[],[],,,,265.5999999999767,,18,,,,3.0,,2020-03-02 22:40:00,700.4,,,,,2020-03-02 23:03:00,,,,,
40,hold,,0,,[],[],,,,2453.9000000000233,,18,,,,,,2020-03-02 23:03:00,1233.6,,,,,2020-03-03 10:42:00,1248.2,,,1247.3891428571428,
41,open,,0,,[],[],,,,10.20000000006985,,18,,,,,,2020-03-03 10:42:00,1248.2,,,,,2020-03-03 10:49:00,782.5,,,,
42,reheat,,0,,[],[],,,,91.69999999995345,,18,,,,1.0,,2020-03-03 10:49:00,782.5,,,,,2020-03-03 11:01:00,,,,,
43,hold,,0,,[],[],,,,364.80000000004657,,18,,,,,,2020-03-03 11:01:00,1244.9,,,,,2020-03-03 12:55:00,1254.1,,,1247.8217391304347,
44,open,,0,,[],[],,,,15.399999999906866,,18,,,,,,2020-03-03 12:55:00,1254.1,,,,,2020-03-03 13:04:00,940.3,,,,
45,reheat,,1,,[],[],,,,62.900000000023276,,18,,,,1.0,,2020-03-03 13:04:00,940.3,,,,,2020-03-03 13:14:00,,,,,
46,hold,,1,,[],[],,,,6.800000000046567,,18,,,,,,2020-03-03 13:14:00,1253.7000000000005,,,,,2020-03-03 13:15:00,1253.7,,,1253.7000000000005,
47,open,,0,,[],[],,,,23.900000000023283,,18,,,,,,2020-03-03 13:15:00,1253.7,,,,,2020-03-03 13:25:00,892.3,,,,
48,reheat,,1,,[],[],,,,52.39999999990686,,18,,,,2.0,,2020-03-03 13:25:00,892.3,,,,,2020-03-03 13:31:00,,,,,
49,open,,1,,[],[],,,,50.900000000023276,,18,,,,,,2020-03-03 13:32:00,1255.0,,,,,2020-03-03 13:45:00,841.6999999999997,,,,
50,reheat,,1,,[],[],,,,75.59999999997672,,18,,,,4.0,,2020-03-03 13:45:00,841.6999999999997,,,,,2020-03-03 13:56:00,,,,,
