,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,heat,0.0,1,0.08588957055214584,[],[],holding 0,1.3999999999999773,16.3,1042.6999999999532,1042.6999999999532,6,350.7,0,0.0,378.0,[''],2020-03-01 03:39:00,349.3,2020-03-01 00:00:00,350.0,,,2020-03-01 19:57:00,350.7,,0.0,,
1,heat,0.0,1,88.10114192495921,[],[],increasing 0,900.0999999999998,10.216666666666667,3764.300000000047,3764.300000000047,6,1250.8,0,0.0,378.0,[''],2020-03-01 19:57:00,350.7,2020-03-01 00:00:00,350.0,,,2020-03-02 06:10:00,1250.8,,0.0,,
2,open,,0,,[],[],,,,24.400000000023283,,6,,,,,,2020-03-02 10:51:00,1251.7,,,,,2020-03-02 10:57:00,1013.6,,,,
3,reheat,,0,,[],[],,,,182.30000000004657,,6,,,,1.0,,2020-03-02 10:57:00,1013.6,,,,,2020-03-02 11:24:00,,,,,
4,hold,,0,,[],[],,,,849.5,,6,,,,,,2020-03-02 11:24:00,1251.2,,,,,2020-03-02 14:26:00,1252.2,,,1251.1207650273225,
5,open,,0,,[],[],,,,27.5,,6,,,,,,2020-03-02 14:26:00,1252.2,,,,,2020-03-02 14:37:00,793.9,,,,
6,reheat,,0,,[],[],,,,161.3999999999069,,6,,,,1.0,,2020-03-02 14:37:00,793.9,,,,,2020-03-02 14:56:00,,,,,
7,hold,,0,,[],[],,,,1649.9000000000233,,6,,,,,,2020-03-02 14:56:00,1252.3,,,,,2020-03-02 21:05:00,1253.0,,,1250.9982432432432,
8,open,,0,,[],[],,,,10.5,,6,,,,,,2020-03-02 21:05:00,1253.0,,,,,2020-03-02 21:10:00,902.9,,,,
9,reheat,,0,,[],[],,,,99.09999999997672,,6,,,,1.0,,2020-03-02 21:10:00,902.9,,,,,2020-03-02 21:25:00,,,,,
10,hold,,0,,[],[],,,,410.0,,6,,,,,,2020-03-02 21:25:00,1251.2,,,,,2020-03-02 23:01:00,1252.8,,,1251.0824742268042,
11,open,,0,,[],[],,,,20.900000000023287,,6,,,,,,2020-03-02 23:01:00,1252.8,,,,,2020-03-02 23:08:00,941.6,,,,
12,reheat,,0,,[],[],,,,66.20000000006985,,6,,,,1.0,,2020-03-02 23:08:00,941.6,,,,,2020-03-02 23:18:00,,,,,
13,open,,0,,[],[],,,,8.800000000046566,,6,,,,,,2020-03-02 23:19:00,1252.3,,,,,2020-03-02 23:23:00,878.7,,,,
14,reheat,,0,,[],[],,,,101.5,,6,,,,1.0,,2020-03-02 23:23:00,878.7,,,,,2020-03-02 23:37:00,,,,,
15,hold,,0,,[],[],,,,594.1999999999534,,6,,,,,,2020-03-02 23:37:00,1252.2,,,,,2020-03-03 01:36:00,1253.1,,,1240.2191666666665,
16,open,,0,,[],[],,,,35.099999999976724,,6,,,,,,2020-03-03 01:36:00,1253.1,,,,,2020-03-03 01:46:00,1004.7,,,,
17,reheat,,0,,[],[],,,,57.900000000023276,,6,,,,1.0,,2020-03-03 01:46:00,1004.7,,,,,2020-03-03 01:55:00,,,,,
18,hold,,0,,[],[],,,,22.900000000023283,,6,,,,,,2020-03-03 01:55:00,1254.7,,,,,2020-03-03 01:59:00,1253.0,,,1252.76,
19,open,,0,,[],[],,,,17.599999999976713,,6,,,,,,2020-03-03 01:59:00,1253.0,,,,,2020-03-03 02:05:00,1017.6,,,,
20,reheat,,0,,[],[],,,,86.09999999997672,,6,,,,0.0,,2020-03-03 02:05:00,1017.6,,,,,2020-03-03 02:18:00,,,,,
21,hold,,0,,[],[],,,,231.90000000002328,,6,,,,,,2020-03-03 02:18:00,1249.7,,,,,2020-03-03 03:09:00,1252.6,,,1251.2673076923074,
22,open,,0,,[],[],,,,5.300000000046566,,6,,,,,,2020-03-03 03:09:00,1252.6,,,,,2020-03-03 03:13:00,932.2,,,,
23,reheat,,0,,[],[],,,,57.599999999976724,,6,,,,1.0,,2020-03-03 03:13:00,932.2,,,,,2020-03-03 03:22:00,,,,,
24,heat,1.0,0,162.77205882352942,[],[],increasing 0,737.9000000000002,4.533333333333333,3102.3000000000466,3102.3000000000466,6,1248.9,0,0.0,6.0,"['가열로 다이', '가열로 다이', '200203-99010-001', '200220-19234-006_5', '200220-19234-006_6', '190619-12005-003_1']",2020-03-03 03:58:00,511.0,2020-03-03 03:58:00,511.0,2020-03-03 03:23:00,,2020-03-03 08:30:00,1248.9,,0.0,,
25,open,,0,,[],[],,,,8.699999999953434,,6,,,,,,2020-03-03 21:06:00,1251.8,,,,,2020-03-03 21:10:00,954.7,,,,
26,reheat,,0,,[],[],,,,78.10000000009313,,6,,,,1.0,,2020-03-03 21:10:00,954.7,,,,,2020-03-03 21:22:00,,,,,
27,open,,0,,[],['190619-12005-003'],,,,34.89999999990687,,6,,,,,"['가열로 다이', '가열로 다이', '200220-19234-006', '200203-99010-001']",2020-03-03 21:23:00,1254.5,,,,,2020-03-03 21:32:00,965.5,,,,
28,reheat,,0,,[],[],,,,107.60000000009312,,6,,,,1.0,,2020-03-03 21:32:00,965.5,,,,,2020-03-03 21:48:00,,,,,
29,hold,,0,,[],[],,,,7.0,,6,,,,,,2020-03-03 21:48:00,1251.2,,,,,2020-03-03 21:50:00,1252.9,,,1252.4666666666667,
