,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
29,hold,43.0,0.0,,[],[],,,,237.4000000003726,,5,,,,,[''],2019-10-01 14:21:00,1241.6,,,,2019-10-01,2019-10-01 15:39:00,1229.8,주간,,1230.3025316455694,
30,hold,44.0,0.0,,[],[],,,,287.8999999985099,,5,,,,,[''],2019-10-02 11:16:00,1270.7,,,,2019-10-02,2019-10-02 12:58:00,1251.8,주간,,1244.0398058252424,
31,hold,45.0,0.0,,[],[],,,,274.59999999962747,,5,,,,,[''],2019-10-03 11:08:00,1225.4,,,,2019-10-03,2019-10-03 12:57:00,1252.5,주간,,1250.8981818181815,
32,hold,48.0,0.0,,[],[],,,,105.79999999888241,,5,,,,,[''],2019-10-08 17:15:00,1269.7,,,,2019-10-08,2019-10-08 17:57:00,1275.7,주간,,1271.3069767441862,
33,hold,49.0,0.0,,[],[],,,,149.60000000149012,,5,,,,,[''],2019-10-09 04:54:00,1249.0,,,,2019-10-09,2019-10-09 05:44:00,1250.4,주간,,1250.4509803921567,
34,hold,50.0,0.0,,[],[],,,,139.40000000037253,,5,,,,,[''],2019-10-10 12:22:00,1283.9,,,,2019-10-10,2019-10-10 13:01:00,1271.2,주간,,1272.0375,
35,hold,51.0,0.0,,[],[],,,,103.79999999888241,,5,,,,,[''],2019-10-11 17:14:00,1247.8,,,,2019-10-11,2019-10-11 17:55:00,1252.5,주간,,1250.8476190476192,
36,hold,53.0,0.0,,[],[],,,,264.30000000074506,,5,,,,,[''],2019-10-15 08:37:00,1207.4,,,,2019-10-15,2019-10-15 10:08:00,1250.4,주간,,1248.348913043478,
37,hold,54.0,0.0,,[],[],,,,289.19999999925494,,5,,,,,[''],2019-10-16 09:27:00,1230.7,,,,2019-10-16,2019-10-16 11:17:00,1251.8,주간,,1234.4189189189187,
38,hold,55.0,0.0,,[],[],,,,137.7000000011176,,5,,,,,[''],2019-10-17 16:59:00,1271.5,,,,2019-10-17,2019-10-17 17:52:00,1251.9,주간,,1251.6907407407405,
39,hold,56.0,0.0,,[],[],,,,581.1999999992547,,5,,,,,"['190909-12500-005', '200204-19180-116', '200204-19180-115', '200204-19180-114', '200204-19180-113', '200204-19180-112', '200204-19180-111']",2019-10-18 11:58:00,1246.0,,,,2019-10-18,2019-10-18 16:06:00,1251.1,주간,,1250.7072289156627,
40,hold,57.0,0.0,,[],[],,,,445.9000000003725,,5,,,,,[''],2019-10-22 09:53:00,1255.5,,,,2019-10-22,2019-10-22 11:15:00,1251.5,야간,,1251.3,
41,hold,58.0,0.0,,[],[],,,,256.0,,5,,,,,[''],2019-10-23 23:39:00,1280.4,,,,2019-10-23,2019-10-24 01:12:00,1272.2,야간,,1270.7648936170212,
42,hold,59.0,0.0,,[],[],,,,4223.5,,5,,,,,[''],2019-10-24 04:18:00,964.2,,,,2019-10-24,2019-10-24 21:15:00,1250.7,야간,,1216.8325147347741,
43,hold,61.0,0.0,,[],[],,,,562.2000000011176,,5,,,,,[''],2019-10-28 22:24:00,1281.2,,,,2019-10-28,2019-10-29 01:30:00,1271.5,야간,,1270.8673796791445,
44,hold,63.0,0.0,,[],[],,,,1766.8000000007446,,5,,,,,[''],2019-10-30 20:30:00,1258.0,,,,2019-10-31,2019-10-31 07:26:00,1251.0,주간,,1250.6668188736685,
