,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,啊胶荤侩樊,啊凯肺 锅龋,啊凯肯丰 柯档,啊凯吝 付瘤阜 巩摧腮 矫埃,啊凯吝 巩凯覆 冉荐,滑矫埃,家犁 list,矫累矫埃,矫累柯档,角力 矫累矫埃,盔贰矫累痢柯档,捞傈 辆丰矫埃,累诀老磊,辆丰矫埃,辆丰柯档,林/具埃,弥辆 啊凯矫累 柯档,乞闭柯档,乞老/林富
30,hold,33.0,0.0,,,,,,,950.9000000003723,1,,,,,[''],2020-05-07 21:51:00,1261.5,,,,2020-05-08,2020-05-08 05:18:00,1287.8,林埃,,1277.215625,
31,hold,34.0,0.0,,,,,,,1490.8999999994412,1,,,,,[''],2020-05-09 09:47:00,1258.9,,,,2020-05-09,2020-05-09 21:52:00,1287.2,具埃,,1263.5849862258956,
32,hold,35.0,0.0,,,,,,,282.2999999998138,1,,,,,[''],2020-05-12 03:24:00,1270.4,,,,2020-05-12,2020-05-12 05:27:00,1287.7,林埃,,1276.2040322580647,
33,hold,36.0,0.0,,,,,,,285.6000000005588,1,,,,,[''],2020-05-13 01:49:00,1280.9,,,,2020-05-13,2020-05-13 03:46:00,1288.3,林埃,,1280.072033898305,
34,hold,37.0,0.0,,,,,,,81.6000000005588,1,,,,,[''],2020-05-25 22:49:00,1285.5,,,,2020-05-25,2020-05-25 23:29:00,1288.2,具埃,,1277.4560975609754,
35,hold,38.0,0.0,,,,,,,142.70000000018626,1,,,,,[''],2020-05-26 22:11:00,1268.4,,,,2020-05-26,2020-05-26 23:28:00,1287.6,具埃,,1274.6833333333334,
36,hold,39.0,0.0,,,,,,,209.6999999992549,1,,,,,[''],2020-05-27 14:52:00,1269.8,,,,2020-05-27,2020-05-27 16:48:00,1267.1,具埃,,1257.6649572649574,
37,hold,41.0,0.0,,,,,,,62.299999999813735,1,,,,,[''],2020-05-29 22:03:00,1276.6,,,,2020-05-29,2020-05-29 22:38:00,1287.9,具埃,,1278.1611111111113,
38,hold,42.0,0.0,,,,,,,341.1000000005588,1,,,,,[''],2020-06-01 09:32:00,1285.5,,,,2020-06-01,2020-06-01 13:00:00,1281.4,林埃,,1274.2,
39,hold,43.0,0.0,,,,,,,752.8999999994412,1,,,,,[''],2020-06-04 09:50:00,1287.5,,,,2020-06-04,2020-06-04 16:55:00,1287.5,林埃,,1280.5,
40,hold,44.0,0.0,,,,,,,261.09999999962747,1,,,,,[''],2020-06-05 15:24:00,1284.7,,,,2020-06-05,2020-06-05 18:02:00,1287.7,林埃,,1279.3754716981132,
