,°¡¿­·Î ¹øÈ£,½ÃÀÛ½Ã°£,Á¾·á½Ã°£,°¡½º»ç¿ë·®,Type,¼ÒÀç list,ÀÛ¾÷ÀÏÀÚ,ÁÖ/¾ß°£,in,out,cycle,ÆòÀÏ/ÁÖ¸»,drop_flag,gradient,part_types,temp diff,time diff,°¡¿­¿Ï·á ¿Âµµ,°¡¿­Áß ¸¶Áö¸· ¹®´ÝÈù ½Ã°£,°¡¿­Áß ¹®¿­¸² È½¼ö,»¬½Ã°£,½ÃÀÛ¿Âµµ,½ÇÁ¦ ½ÃÀÛ½Ã°£,¿ø·¡½ÃÀÛÁ¡¿Âµµ,ÀÌÀü Á¾·á½Ã°£,Á¾·á¿Âµµ,ÃÖÁ¾ °¡¿­½ÃÀÛ ¿Âµµ,Æò±Õ¿Âµµ,°ãÄ§¼ö·®,Á÷Àü »çÀÌÅ¬ ¼ÒÀç ¼ö·®,°ãÄ§¿©ºÎ
0,1,2020-03-02 06:18:00,2020-03-02 06:20:00,7.199999999254942,open,[''],,,,,0.0,,0.0,,,,,,,,,1175.6,,,,1128.7,,,0,0.0,¾È°ãÄ§
1,1,2020-03-02 06:28:00,2020-03-02 06:30:00,7.2000000001862645,open,[''],,,,,0.0,,0.0,,,,,,,,,1180.1,,,,1138.1,,,4,4.0,°ãÄ§
2,1,2020-03-02 10:44:00,2020-03-02 10:52:00,17.800000000745058,open,[''],,,,,0.0,,0.0,,,,,,,,,1254.5,,,,969.1,,,4,4.0,°ãÄ§
3,1,2020-03-03 04:48:00,2020-03-03 04:52:00,3.599999999627471,open,[''],,,,,0.0,,0.0,,,,,,,,,1258.5,,,,1082.9,,,4,4.0,°ãÄ§
4,1,2020-03-03 06:14:00,2020-03-03 06:17:00,3.599999999627471,open,[''],,,,,0.0,,0.0,,,,,,,,,1287.4,,,,1099.0,,,4,4.0,°ãÄ§
5,1,2020-03-03 06:26:00,2020-03-03 06:35:00,14.400000000372527,open,[''],,,,,0.0,,0.0,,,,,,,,,1284.2,,,,1149.1,,,4,4.0,°ãÄ§
6,1,2020-03-03 06:46:00,2020-03-03 06:54:00,12.5,open,[''],,,,,0.0,,0.0,,,,,,,,,1284.4,,,,1202.3,,,4,4.0,°ãÄ§
7,1,2020-03-03 07:08:00,2020-03-03 07:13:00,9.0,open,[''],,,,,0.0,,0.0,,,,,,,,,1282.4,,,,1112.4,,,4,4.0,°ãÄ§
8,1,2020-03-03 07:17:00,2020-03-03 07:19:00,3.5,open,[''],,,,,0.0,,0.0,,,,,,,,,1266.7,,,,1026.4,,,4,4.0,°ãÄ§
9,1,2020-03-03 07:32:00,2020-03-03 07:40:00,10.700000000186263,open,[''],,,,,0.0,,0.0,,,,,,,,,1284.0,,,,1103.1,,,4,4.0,°ãÄ§
10,1,2020-03-03 07:42:00,2020-03-03 07:44:00,3.5,open,[''],,,,,0.0,,0.0,,,,,,,,,1253.6,,,,1003.2,,,4,4.0,°ãÄ§
11,1,2020-03-03 07:52:00,2020-03-03 07:55:00,3.599999999627471,open,[''],,,,,0.0,,0.0,,,,,,,,,1283.6,,,,1214.5,,,4,4.0,°ãÄ§
12,1,2020-03-03 08:26:00,2020-03-03 08:34:00,12.5,open,[''],,,,,0.0,,0.0,,,,,,,,,1269.3,,,,1174.5,,,4,4.0,°ãÄ§
13,1,2020-03-04 06:44:00,2020-03-04 06:45:00,1.7999999998137357,open,[''],2020-03-04,¾ß°£,,,1.0,,0.0,,,,,,,,,1200.0,,,,1131.1,,,4,4.0,°ãÄ§
14,1,2020-03-04 20:11:00,2020-03-04 20:19:00,14.400000000372527,open,[''],2020-03-04,¾ß°£,,,1.0,,0.0,,,,,,,,,1265.0,,,,1146.7,,,4,4.0,°ãÄ§
15,1,2020-03-05 04:35:00,2020-03-05 04:43:00,16.399999999441203,open,[''],2020-03-04,¾ß°£,,,1.0,,0.0,,,,,,,,,1284.8,,,,1126.1,,,4,4.0,°ãÄ§
16,1,2020-03-05 05:07:00,2020-03-05 05:10:00,5.5,open,[''],2020-03-04,¾ß°£,,,1.0,,0.0,,,,,,,,,1284.6,,,,1119.7,,,4,4.0,°ãÄ§
17,1,2020-03-05 05:27:00,2020-03-05 05:36:00,14.600000000558795,open,[''],2020-03-04,¾ß°£,,,1.0,,0.0,,,,,,,,,1285.4,,,,1115.1,,,4,4.0,°ãÄ§
18,1,2020-03-06 02:28:00,2020-03-06 02:31:00,1.7999999998137357,open,[''],2020-03-05,¾ß°£,,,2.0,,0.0,,,,,,,,,1277.1,,,,1050.7,,,4,4.0,°ãÄ§
