,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,heat,0,1,77.58947368421055,,,increasing 0,245.70000000000005,3.1666666666666665,873.0999999999767,873.0999999999767,13,1264.0,0,0,6,['200121-19151-001'],2020-03-03 10:31:00,1018.3,2020-03-03 07:31:00,1216.0,,,2020-03-03 13:41:00,1264.0,,0,,
1,open,,0,,,,,,,21.900000000023283,,13,,,,,,2020-03-04 01:14:00,1274.5,,,,,2020-03-04 01:24:00,823.5,,,,
2,reheat,,0,,,,,,,72.80000000004657,,13,,,,1,,2020-03-04 01:24:00,823.5,,,,,2020-03-04 01:32:00,,,,,
3,open,,0,,,,,,,18.0,,13,,,,,,2020-03-04 01:32:00,1215.2,,,,,2020-03-04 01:40:00,708.5,,,,
4,reheat,,0,,,,,,,200.09999999997672,,13,,,,1,,2020-03-04 01:40:00,708.5,,,,,2020-03-04 01:59:00,,,,,
5,hold,,0,,,,,,,738.4000000000233,,13,,,,,,2020-03-04 01:59:00,1261.0,,,,,2020-03-04 04:38:00,1269.0,,,1263.87625,
6,open,,0,,,,,,,6.400000000023283,,13,,,,,,2020-03-04 04:38:00,1269.0,,,,,2020-03-04 04:44:00,828.6,,,,
7,reheat,,0,,,,,,,29.899999999906868,,13,,,,1,,2020-03-04 04:44:00,828.6,,,,,2020-03-04 04:48:00,,,,,
8,open,,0,,,,,,,4.299999999930151,,13,,,,,,2020-03-04 04:49:00,1061.2,,,,,2020-03-04 04:56:00,685.9,,,,
9,reheat,,0,,,,,,,211.59999999997672,,13,,,,0,,2020-03-04 04:56:00,685.9,,,,,2020-03-04 05:16:00,,,,,
10,hold,,0,,,,,,,362.0,,13,,,,,,2020-03-04 05:16:00,1256.8,,,,,2020-03-04 06:22:00,1266.3,,,1258.3253731343286,
11,open,,0,,,,,,,36.20000000006985,,13,,,,,,2020-03-04 06:22:00,1266.3,,,,,2020-03-04 06:34:00,836.7,,,,
12,reheat,,0,,,,,,,67.69999999995343,,13,,,,0,,2020-03-04 06:34:00,836.7,,,,,2020-03-04 06:42:00,,,,,
13,open,,0,,,,,,,8.699999999953434,,13,,,,,,2020-03-04 06:43:00,1189.6,,,,,2020-03-04 06:51:00,667.9,,,,
14,reheat,,0,,,,,,,249.90000000002328,,13,,,,1,,2020-03-04 06:51:00,667.9,,,,,2020-03-04 07:15:00,,,,,
15,heat,1,0,78.31250000000004,,,increasing 0,250.60000000000014,3.2,887.6999999999534,887.6999999999534,13,1263.4,0,0,5,['200121-19151-001'],2020-03-04 10:26:00,1012.8,2020-03-04 07:31:00,1175.2,2020-03-04 07:20:00,,2020-03-04 13:38:00,1263.4,,0,,
16,open,,0,,,,,,,12.800000000046566,,13,,,,,,2020-03-04 21:14:00,1270.6,,,,,2020-03-04 21:21:00,834.6,,,,
