,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
34,heat,1.0,0.0,223.5662650602409,[],[],increasing 0,927.8,4.15,1187.0999999996275,747.0,1,1188.3,2020-03-04 04:17:00,1.0,2.0,"['200204-19411-029_2', '200204-19411-029_3', '200204-19411-029_4', '200204-19411-029_1']",2020-03-04 02:30:00,260.5,2020-03-04 02:30:00,260.5,2020-03-03 08:38:00,2020-03-04,2020-03-04 06:39:00,1188.3,야간,855.3,,평일
35,open,1.0,0.0,,[],[],,,,1.7999999998137357,,1,,,,,[''],2020-03-04 06:44:00,1200.0,,,,2020-03-04,2020-03-04 06:45:00,1131.1,야간,,,
36,reheat,1.0,0.0,,[],[],,,,258.29999999981374,,1,,,,0.0,[''],2020-03-04 06:45:00,1131.1,,,,2020-03-04,2020-03-04 07:32:00,,야간,,,
37,hold,1.0,0.0,,[],[],,,,1841.0,,1,,,,,[''],2020-03-04 07:32:00,1258.9,,,,2020-03-04,2020-03-04 20:11:00,1265.0,야간,,1257.5400657894736,
38,open,1.0,0.0,,[],[],,,,14.400000000372527,,1,,,,,[''],2020-03-04 20:11:00,1265.0,,,,2020-03-04,2020-03-04 20:19:00,1146.7,야간,,,
39,reheat,1.0,0.0,,[],[],,,,12.5,,1,,,,2.0,[''],2020-03-04 20:19:00,1146.7,,,,2020-03-04,2020-03-04 20:25:00,,야간,,,
40,hold,1.0,0.0,,[],[],,,,874.7000000001863,,1,,,,,[''],2020-03-04 20:25:00,1264.7,,,,2020-03-04,2020-03-05 04:35:00,1284.8,야간,,1278.923421588595,
41,open,1.0,0.0,,[],[],,,,16.399999999441203,,1,,,,,[''],2020-03-05 04:35:00,1284.8,,,,2020-03-04,2020-03-05 04:43:00,1126.1,야간,,,
42,reheat,1.0,0.0,,[],[],,,,16.40000000037253,,1,,,,0.0,[''],2020-03-05 04:43:00,1126.1,,,,2020-03-04,2020-03-05 04:50:00,,야간,,,
43,hold,1.0,0.0,,[],[],,,,25.40000000037253,,1,,,,,[''],2020-03-05 04:50:00,1277.6,,,,2020-03-04,2020-03-05 05:07:00,1284.6,야간,,1280.7944444444445,
44,open,1.0,0.0,,[],['200204-19411-029'],,,,5.5,,1,,,,,[],2020-03-05 05:07:00,1284.6,,,,2020-03-04,2020-03-05 05:10:00,1119.7,야간,,,
45,reheat,1.0,0.0,,[],[],,,,16.399999999441203,,1,,,,1.0,[],2020-03-05 05:10:00,1119.7,,,,2020-03-04,2020-03-05 05:17:00,,야간,,,
46,hold,1.0,0.0,,[],[],,,,16.299999999813735,,1,,,,,[],2020-03-05 05:17:00,1285.1,,,,2020-03-04,2020-03-05 05:27:00,1285.4,야간,,1279.8818181818178,
47,open,1.0,0.0,,[],"['200204-19411-029', '200204-19411-029', '200204-19411-029']",,,,14.600000000558795,,1,,,,,['200204-19411-029'],2020-03-05 05:27:00,1285.4,,,,2020-03-04,2020-03-05 05:36:00,1115.1,야간,,,
48,reheat,1.0,0.0,,[],[],,,,18.200000000186265,,1,,,,0.0,['200204-19411-029'],2020-03-05 05:36:00,1115.1,,,,2020-03-04,2020-03-05 05:44:00,,야간,,,
49,heat,2.0,0.0,118.6846153846154,[],[],increasing 0,514.3000000000002,4.333333333333333,278.0,1301.0,1,1258.2,2020-03-05 10:26:00,7.0,1.0,"['200204-19411-034', '200204-19411-034', '200204-19411-034', '200204-19411-034', '200212-19042-008', '200212-19042-008', '200212-19042-008']",2020-03-05 06:57:00,743.9,2020-03-05 06:50:00,497.8,2020-03-05 06:31:00,2020-03-05,2020-03-05 11:17:00,1258.2,야간,1109.1,,평일
50,open,2.0,0.0,,[],[],,,,1.7999999998137357,,1,,,,,[''],2020-03-06 02:28:00,1277.1,,,,2020-03-05,2020-03-06 02:31:00,1050.7,야간,,,
51,reheat,2.0,0.0,,[],[],,,,21.79999999981373,,1,,,,3.0,[''],2020-03-06 02:31:00,1050.7,,,,2020-03-05,2020-03-06 02:39:00,,야간,,,
52,hold,2.0,0.0,,[],[],,,,94.7000000001863,,1,,,,,[''],2020-03-06 02:39:00,1282.1,,,,2020-03-05,2020-03-06 03:41:00,1277.8,야간,,1273.2714285714285,
53,open,2.0,0.0,,[],[],,,,0.0,,1,,,,,[''],2020-03-06 03:41:00,1277.8,,,,2020-03-05,2020-03-06 03:42:00,1174.3,야간,,,
54,reheat,2.0,0.0,,[],[],,,,12.700000000186265,,1,,,,1.0,[''],2020-03-06 03:42:00,1174.3,,,,2020-03-05,2020-03-06 03:47:00,,야간,,,
55,open,2.0,0.0,,[],[],,,,12.700000000186265,,1,,,,,[''],2020-03-06 03:47:00,1282.9,,,,2020-03-05,2020-03-06 03:56:00,1122.0,야간,,,
56,reheat,2.0,0.0,,[],[],,,,5.5,,1,,,,1.0,[''],2020-03-06 03:56:00,1122.0,,,,2020-03-05,2020-03-06 03:59:00,,야간,,,
57,open,2.0,0.0,,[],[],,,,5.5,,1,,,,,[''],2020-03-06 04:03:00,1282.4,,,,2020-03-05,2020-03-06 04:08:00,1131.2,야간,,,
