,°¡¿­·Î ¹øÈ£,½ÃÀÛ½Ã°£,Á¾·á½Ã°£,°¡½º»ç¿ë·®,Type,¼ÒÀç list,ÀÛ¾÷ÀÏÀÚ,ÁÖ/¾ß°£,in,out,cycle,ÆòÀÏ/ÁÖ¸»,drop_flag,gradient,part_types,temp diff,time diff,°¡½º»ç¿ë·®(¸¶Áö¸· ±¸°£),°¡¿­¿Ï·á ¿Âµµ,°¡¿­Áß ¸¶Áö¸· ¹®´ÝÈù ½Ã°£,°¡¿­Áß ¹®¿­¸² È½¼ö,»¬½Ã°£,½ÃÀÛ¿Âµµ,½ÇÁ¦ ½ÃÀÛ½Ã°£,¿ø·¡½ÃÀÛÁ¡¿Âµµ,ÀÌÀü Á¾·á½Ã°£,Á¾·á¿Âµµ,ÃÖÁ¾ °¡¿­½ÃÀÛ ¿Âµµ,Æò±Õ¿Âµµ,°ãÄ§¼ö·®,Á÷Àü »çÀÌÅ¬ ¼ÒÀç ¼ö·®,°ãÄ§¿©ºÎ
25,5,2019-07-04 07:57:00,2019-07-04 08:08:00,58.2000000011176,reheat,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,1.0,1018.7,,,,,,,4,4.0,°ãÄ§
26,5,2019-07-04 08:52:00,2019-07-04 09:06:00,49.5,reheat,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,7.0,844.3,,,,,,,4,4.0,°ãÄ§
27,5,2019-07-04 09:50:00,2019-07-04 10:04:00,0.0,reheat,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,14.0,862.0,,,,,,,4,4.0,°ãÄ§
28,5,2019-07-04 10:26:00,2019-07-04 10:44:00,449.0,reheat,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,6.0,877.1,,,,,,,4,4.0,°ãÄ§
29,5,2019-07-04 10:59:00,2019-07-04 11:19:00,130.2999999988824,reheat,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,1.0,829.8,,,,,,,4,4.0,°ãÄ§
30,5,2019-07-04 11:28:00,2019-07-04 11:34:00,16.40000000037253,reheat,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,1.0,1044.2,,,,,,,4,4.0,°ãÄ§
31,5,2019-07-04 11:41:00,2019-07-04 12:23:00,256.0,reheat,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,2.0,759.1,,,,,,,4,4.0,°ãÄ§
32,5,2019-07-04 13:04:00,2019-07-04 13:28:00,135.40000000037253,reheat,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,2.0,868.5,,,,,,,4,4.0,°ãÄ§
33,5,2019-07-04 13:36:00,2019-07-04 13:48:00,71.90000000037253,reheat,[''],2019-07-04,ÁÖ°£,[],[],3.0,,0.0,,,,,,,,,1.0,993.2,,,,,,,4,4.0,°ãÄ§
34,5,2019-07-05 03:20:00,2019-07-05 03:44:00,146.40000000037253,reheat,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,2.0,995.8,,,,,,,4,4.0,°ãÄ§
