,가열로 번호,cycle,시작시간,종료시간,가스사용량,Type,소재 list,작업일자,주/야간,평일/주말,in,out,drop_flag,gradient,part_types,temp diff,time diff,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,종료온도,최종 가열시작 온도,평균온도,겹침수량,직전 사이클 소재 수량,겹침여부
0,1,15,2020-03-29 13:10:00,2020-03-29 20:54:00,797.5,heat,"['200131-15200-005', '200131-15200-006', '200131-15200-015', '200131-15200-016', '200203-19968-001']",2020-03-30,야간,주말,,,0,0.219827586,holding 0,1.7,7.733333333,852.4,2020-03-29 12:22:00,1,230,854.1,2020-03-28 09:06:00,312.1,0,852.4,766,,5,5,겹침
1,1,28,2020-04-26 08:08:00,2020-04-26 09:47:00,63.3,heat,"['200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012']",2020-04-27,주간,주말,,,0,0,holding 0,0,1.65,659.9,0,0,145,659.9,2020-04-26 07:56:00,610.1,0,659.9,0,,9,9,겹침
2,1,56,2020-06-28 05:14:00,2020-06-28 07:45:00,216.6,heat,"['200513-13530-005', '가열로다이', '가열로다이', '가열로다이']",2020-06-29,주간,주말,,,0,1.82781457,holding 0,4.6,2.516666667,707,0,0,93,711.6,2020-06-27 06:50:00,390.4,0,707,0,,4,4,겹침
3,2,36,2020-04-26 08:22:00,2020-04-26 10:46:00,149.4,heat,"['200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200311-19133-001', '200311-19133-003']",2020-04-27,주간,주말,,,0,5.25,holding 0,12.6,2.4,686.8,0,0,107,674.2,2020-04-26 07:30:00,516.4,0,686.8,0,,9,9,겹침
4,3,3,2020-03-05 05:41:00,2020-03-05 08:22:00,153,heat,"['191210-12321-001', '200305-051', '200305-051', '200305-051', '200305-051', '200305-052', '200305-052']",2020-03-05,야간,평일,,,0,0.223602484,holding 0,0.6,2.683333333,854.6,0,0,99,855.2,2020-03-05 05:21:00,653.4,0,854.6,0,,7,7,겹침
5,3,44,2020-05-05 14:00:00,2020-05-05 17:44:00,668,heat,"['200312-99914-050', '200312-99914-050', '200312-99914-050', '200212-15045-010', '200212-15045-010']",2020-05-06,야간,평일,,,0,1.205357143,holding 0,4.5,3.733333333,842.4,0,0,19,846.9,2020-05-05 07:30:00,319.2,0,842.4,0,,5,5,겹침
6,3,65,2020-06-07 06:30:00,2020-06-07 09:15:00,440.6,heat,"['200409-19001-020', '200409-19001-019', '200409-19001-018', '200513-13530-002', '200513-13530-001']",2020-06-08,주간,주말,,,0,0.945454545,holding 0,2.6,2.75,694.3,0,0,1113,691.7,2020-06-06 06:24:00,371.3,0,694.3,0,,5,5,겹침
7,4,4,2020-03-09 06:14:00,2020-03-09 07:57:00,176.6,heat,"['200105-19180-395', '200105-19180-394', '200105-19180-393', '200105-19180-392', '200105-19180-391', '200105-19180-390']",2020-03-09,야간,평일,,,0,1.048543689,holding 0,1.8,1.716666667,654.9,2020-03-08 21:47:00,0,185,653.1,2020-03-07 07:00:00,658.9,0,654.9,480,,6,6,겹침
8,5,12,2020-03-30 23:08:00,2020-03-31 04:51:00,321.1,heat,"['200204-19180-671', '200204-19180-672', '200204-19180-677', '200204-19180-674', '200204-19180-673', '200204-19180-675', '200204-19180-676']",2020-04-01,야간,주말,,,0,5.125364431,holding 0,29.3,5.716666667,329.9,2020-04-01 06:51:00,5,1207,300.6,2020-03-30 11:00:00,22,0,329.9,726.2,,7,7,겹침
9,5,12,2020-03-31 11:06:00,2020-03-31 23:50:00,1090.2,heat,"['200204-19180-671', '200204-19180-672', '200204-19180-677', '200204-19180-674', '200204-19180-673', '200204-19180-675', '200204-19180-676']",2020-04-01,야간,평일,,,0,0.706806283,holding 1,9,12.73333333,602.4,2020-04-01 06:51:00,5,1207,593.4,2020-03-30 11:00:00,22,0,602.4,726.2,,7,7,겹침
10,5,22,2020-04-20 16:13:00,2020-04-20 18:48:00,657.8,heat,"['200316-15008-004', '200311-19133-003', '200311-19133-001', '200316-15008-005', '200316-15008-002', '200316-15008-001']",2020-04-21,주간,주말,,,0,0.967741935,holding 0,2.5,2.583333333,659.3,2020-04-20 15:41:00,1,204,661.8,2020-04-20 10:10:00,102.5,0,659.3,159.7,,6,6,겹침
11,6,18,2020-03-29 16:30:00,2020-03-29 19:36:00,794.7,heat,"['200131-15200-007', '200131-15200-008', '200131-15200-009', '190905-19234-096', '190905-19234-096']",2020-03-30,주간,주말,,,0,0.838709677,holding 0,2.6,3.1,801.3,0,0,12,798.7,2020-03-28 07:00:00,387,0,801.3,0,,5,5,겹침
