,가열로 번호,시작시간,시작온도,종료시간,종료온도,평균온도,가스사용량
48,1,2019-09-23 07:44:00,1232.6,2019-09-24 07:15:00,1238.2,1231.8661473087818,2665.0
49,1,2019-09-24 10:16:00,1260.7,2019-09-25 05:50:00,1279.8,1261.4594042553192,2297.4000000003725
50,1,2019-09-25 07:50:00,1252.3,2019-09-26 06:48:00,1264.6,1254.0251631617114,2149.0
51,1,2019-09-26 08:42:00,1243.6,2019-09-27 06:00:00,1263.2,1239.4883502736513,2136.9000000003725
52,1,2019-09-27 10:44:00,1258.6,2019-09-28 05:08:00,1262.6,1260.421900452489,2027.699999999255
53,1,2019-09-30 05:56:00,1254.8,2019-10-01 06:21:00,1282.3,1258.8029331514326,2790.5
54,1,2019-10-01 08:46:00,1252.2,2019-10-02 07:15:00,1262.6,1263.7675555555554,2209.9000000003725
55,1,2019-10-02 11:22:00,1260.7,2019-10-03 06:52:00,1182.501895734628,1253.1024123667985,1793.800000000745
56,1,2019-10-03 10:36:00,1250.4,2019-10-04 06:40:00,1284.4,1265.5565975103734,2053.0
57,1,2019-10-04 12:40:00,1259.9,2019-10-05 06:55:00,1284.7,1266.6672445255474,2082.7000000001863
58,1,2019-10-07 06:18:00,1260.5,2019-10-08 06:45:00,1278.1,1253.59257493188,2896.7000000001863
59,1,2019-10-08 08:47:00,1257.9,2019-10-09 07:32:00,1260.4,1253.1163250366033,2454.699999999255
60,1,2019-10-09 09:50:00,1249.8,2019-10-10 05:45:00,1284.0,1257.5338628762543,2302.699999999255
61,1,2019-10-10 08:47:00,1264.4,2019-10-11 06:13:00,1282.7,1256.6397824397823,2133.0999999996275
62,1,2019-10-11 12:26:00,1262.7,2019-10-12 05:40:00,1283.4,1264.1736231884058,1935.9000000003725
63,1,2019-10-14 07:02:00,1259.1,2019-10-15 06:18:00,1282.5,1260.747387258411,2776.0
64,1,2019-10-15 07:48:00,1261.3,2019-10-16 06:18:00,1284.1,1263.7738712065136,2349.600000000559
65,1,2019-10-16 08:41:00,1219.7,2019-10-17 03:21:00,1281.5,1261.0249776984836,2210.100000000559
